hexsha,cve_id,bug_type,description
959fe01e85b7241e3ec305d657febbe82da16a02,CVE-2024-42238,buffer_overflow,firmware: cs_dsp: Return error if block header overflows file
35ddf66c65eff93fff91406756ba273600bf61a3,CVE-2025-71128,buffer_overflow,erspan: Initialize options_len before referencing options.
32ce3bb57b6b402de2aec1012511e7ac4e7449dc,CVE-2024-26807,buffer_overflow,spi: cadence-qspi: fix pointer reference in runtime PM hooks
9ba2ea6337b4f159aecb177555a6a81da92d302e,CVE-2024-46728,buffer_overflow,drm/amd/display: Check index for aux_rd_interval before using
7330256268664ea0a7dd5b07a3fed363093477dd,CVE-2024-26915,buffer_overflow,drm/amdgpu: Reset IH OVERFLOW_CLEAR bit
546362a9ef2ef40b57c6605f14e88ced507f8dd0,CVE-2021-47286,buffer_overflow,bus: mhi: core: Validate channel ID when processing command completions
31d49ba033095f6e8158c60f69714a500922e0c3,CVE-2023-53369,buffer_overflow,net: dcb: choose correct policy to parse DCB_ATTR_BCN
ff2e185cf73df480ec69675936c4ee75a445c3e4,CVE-2024-40974,buffer_overflow,powerpc/pseries: Enforce hcall result buffer validity and size
d10a87a3535cce2b890897914f5d0d83df669c63,CVE-2021-47347,buffer_overflow,wl1251: Fix possible buffer overflow in wl1251_cmd_scan
7236aae5f81f3efbd93d0601e74fc05994bc2580,CVE-2022-50518,buffer_overflow,parisc: Fix locking in pdc_iodc_print() firmware call
3ff256751a2853e1ffaa36958ff933ccc98c6cb5,CVE-2023-53432,double_free_uaf,firewire: net: fix use after free in fwnet_finish_incoming_packet()
5cff1529a2f9b3461a7f5a6e36a86682fc290534,CVE-2026-64601,double_free_uaf,ALSA: us144mkii: capture_urb_complete: redundant usb_anchor_urb corrupts anchor list on each resubmission
4e076c73e4f6e90816b30fcd4a0d7ab365087255,CVE-2023-51043,double_free_uaf,drm/atomic: Fix potential use-after-free in nonblocking commits
e07dea3de508cd6950c937cec42de7603190e1ca,CVE-2026-23030,double_free_uaf,phy: rockchip: inno-usb2: Fix a double free bug in rockchip_usb2phy_probe()
bd5b50b329e850d467e7bcc07b2b6bde3752fbda,CVE-2023-52847,double_free_uaf,media: bttv: fix use after free error due to btv->timeout timer
7051f6ba968fa69918d72cc26de4d6cf7ea05b90,CVE-2025-68748,double_free_uaf,drm/panthor: Fix UAF race between device unplug and FW event processing
9950f095d6c875dbe0c9ebfcf972ec88fdf26fc8,CVE-2025-40141,double_free_uaf,Bluetooth: ISO: Fix possible UAF on iso_conn_free
37f53a2c60d03743e0eacf7a0c01c279776fef4e,CVE-2025-38141,double_free_uaf,dm: fix dm_blk_report_zones
549f8ffc7b2f7561bea7f90930b6c5104318e87b,CVE-2022-48735,double_free_uaf,ALSA: hda: Fix UAF of leds class devs at unbinding
d849a2f7309fc0616e79d13b008b0a47e0458b6e,CVE-2026-31471,double_free_uaf,xfrm: iptfs: only publish mode_data after clone setup
