#,function,file,spec_kind,bug_type,fix_evidence,spec_entity,evidence
1,__cci_ace_get_port,drivers/bus/arm-cci.c,seed,resource_leak,,A call to function of_parse_phandle,"Line 5: `cci_portn = of_parse_phandle(dn, ""cci-control-port"", 0);` The function ends with `return -ENODEV;` at the end without a preceding call to `of"
2,__ceph_setxattr,fs/ceph/xattr.c,seed,logic_error,YES,The prealloc_blob size check in __ceph_setxattr (comparison of required_blob_siz,"In the function `__ceph_setxattr`, `required_blob_size` is computed at line 69 (`required_blob_size = __get_required_blob_size(ci, name_len, val_len);"
3,__ethtool_get_ts_info,net/ethtool/common.c,generated,generated,,A call to `phy_has_tsinfo` with a `phy_device` pointer,Line `struct phy_device *phydev = dev->phydev;` assigns from `dev->phydev` without NULL check. Then line `if (phy_is_default_hwtstamp(phydev) && phy_h
4,acbel_fsg032_probe,drivers/hwmon/pmbus/acbel-fsg032.c,seed,oob_access,,A call to i2c_smbus_read_block_data,"Line 11: `buf[rc] = '\0';` after first read, and line 22: `buf[rc] = '\0';` after second read. The code only checks `rc < 0` (lines 5, 14) but does no"
5,acpi_button_add,drivers/acpi/button.c,generated,generated,,A call to input_allocate_device() and subsequent use of the returned pointer (st,"After input_register_device(input) fails, the code jumps to label 'err_remove_fs' which calls acpi_button_remove_fs(device) and then falls through to "
6,acpi_os_terminate,drivers/acpi/osl.c,generated,generated,,A call to destroy_workqueue on a workqueue that is used by work items accessing ,"In acpi_os_terminate(), resource release operations (acpi_os_unmap_generic_address for GPE/PM blocks and reset register, zeroing of logical addresses)"
7,adm1266_gpio_get,drivers/hwmon/pmbus/adm1266.c,seed,oob_access,,A call to i2c_smbus_read_block_data,"Line 36: `ret = i2c_smbus_read_block_data(data->client, pmbus_cmd, read_buf);`
Line 37: `if (ret < 0) return ret;`
Lines 39–40: `pins_status = read_bu"
8,adm1266_gpio_get_multiple,drivers/hwmon/pmbus/adm1266.c,seed,oob_access,,A call to i2c_smbus_read_block_data,"Lines 10-12: `ret = i2c_smbus_read_block_data(data->client, ADM1266_GPIO_STATUS, read_buf); if (ret < 0) return ret; status = read_buf[0] + (read_buf["
9,adm8211_tx,drivers/net/wireless/admtek/adm8211.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Lines: hdrlen = ieee80211_hdrlen(hdr->frame_control); memcpy(skb->cb, skb->data, hdrlen); skb_pull(skb, hdrlen); no prior validation of hdrlen against"
10,aie2_cmd_submit,drivers/accel/amdxdna/aie2_ctx.c,seed,memory_leak,,A call to function dma_resv_add_fence,The function calls dma_fence_get(&job->base.s_fence->finished) and stores the result in job->out_fence (line ~ after mutex_lock). Then it calls dma_re
11,allocinfo_stop,lib/alloc_tag.c,seed,null_pointer_deref,,A call to `codetag_lock_module_list` or `codetag_trylock_module_list` with argum,"Line 2 (the only line in the function body): `codetag_lock_module_list(alloc_tag_cttype, false);` – no `IS_ERR_OR_NULL` check on `alloc_tag_cttype` be"
12,amdgpu_bo_fence,drivers/gpu/drm/amd/amdgpu/amdgpu_object.c,seed,memory_leak,,A call to function dma_resv_add_fence,"Line 11: `dma_resv_add_fence(resv, fence, ...);` is called. No `dma_fence_put(fence)` follows on any path after this call. The function returns immedi"
13,amdgpu_cs_submit,drivers/gpu/drm/amd/amdgpu/amdgpu_cs.c,seed,memory_leak,,A call to function dma_resv_add_fence,"Line: `p->fence = dma_fence_get(&leader->base.s_fence->finished);` obtains a reference. Later, `dma_resv_add_fence(gobj->resv, p->fence, DMA_RESV_USAG"
14,armada_lcd_bind,drivers/gpu/drm/armada/armada_crtc.c,generated,generated,,Call to `of_get_child_by_name`,"Line with `port = of_get_child_by_name(parent, ""port"");` acquires a reference. The function then calls `armada_drm_crtc_create(drm, dev, res, irq, var"
15,ata_tdev_add,drivers/ata/libata-transport.c,seed,resource_leak,YES,A call to device_initialize,"Line 6: device_initialize(dev);
Lines 16-18: if (error) { ata_tdev_free(ata_dev); return error; } — no put_device(dev) before returning.
Lines 22-25: "
16,ath10k_htt_rx_h_find_rfc1042,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Line: `hdr_len = ieee80211_hdrlen(hdr->frame_control);` and subsequent arithmetic: `rfc1042 += round_up(hdr_len, bytes_aligned) + round_up(crypto_len,"
17,ath10k_htt_rx_h_get_pn,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,Line 8: `ehdr = skb->data + ieee80211_hdrlen(hdr->frame_control);` then lines 11-16 read `ehdr[0]` through `ehdr[7]` without any check that `skb->len 
18,ath10k_htt_rx_h_undecap_eth,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,The function calls `ieee80211_hdrlen(hdr->frame_control)` (line ~31) and uses the returned `hdr_len` in two places: (1) as an offset into `first_hdr` 
19,ath10k_htt_rx_h_undecap_nwifi,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,The function calls `ieee80211_hdrlen(hdr->frame_control)` on line (after `hdr = (struct ieee80211_hdr *)first_hdr;`) to obtain `hdr_len`. Then it uses
20,ath10k_htt_rx_h_undecap_raw,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"In the second part of the function (after the decryption check, starting at line ~100), the code does:

hdr = (void *)msdu->data;
if (status->flag & R"
21,ath10k_htt_rx_proc_rx_frag_ind_hl,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Line: `hdr_space = ieee80211_hdrlen(hdr->frame_control);` (no validation against `skb->len`).  Lines: `ath10k_htt_rx_frag_tkip_decap_withmic(skb, tot_"
